"Section Description
RDA common maDMP standard","Common standard fieldname
(click on hyperlinks for descriptions)
(see GC_RDA DMP structure, here)",Added to DSW knowledge model?,, DSW knowledge model UUID,Link / key to DSW knowledge model location,"Logical model tracking
(done, pending, changed)",Logical model changes,Logical model comments,Example,Data type,GC DMP Requirement,"required IF"" dependency",Cardinality RDA,Cardinality change GC,Required by,LAC requirement at time of transfer for archival datasets,"DataCite Record for DMP (Mandatory, Optional, Recommended)",Corresponding DataCite field(s),"DataCite Record for Dataset (M, O, R)",Corresponding DataCite field(s),NSL/NRC requirement,Recommended by,Simple fieldname,Nom de domaine simple,Nom de domaine,"Verification 1
agree/disagree (initials)","Verification 2
agree/disagree (initials)","Verification 3
agree/disagree (initials)",Verification comments 1,Verification comments 2,Verification comments 3
,dmp/ethical_issues_exist,TRUE,,1377d12c-91b9-4d31-952c-fdd4410e7585,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1377d12c-91b9-4d31-952c-fdd4410e7585,done,,,yes,controlled vocabulary,required,,1,,,"Y, if still applies (Rights Management Information)",,,,,,,ethical_issues_exist,enjeux_éthiques_existent,pgd/enjeux_éthiques_existent,KT yes,AR yes,,,,
,dmp/ethical_issues_indigenous_community_approval,TRUE,,cf0864d8-ef55-438f-94c8-4593496776f3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cf0864d8-ef55-438f-94c8-4593496776f3,done,,,not applicable,controlled vocabulary,required IF,if indigenous_considerations exist,,,,,,,,,,,,,,,,,,,
,dmp/ethical_issues_indigenous_community_approval_description,TRUE,,35559d16-1779-4baa-bed7-33d7b745bc6a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=35559d16-1779-4baa-bed7-33d7b745bc6a,done,,,,string (free-form text),optional,,,,,,,,,,,,,,,,,,,,
,dmp/ethical_issues_report,TRUE,,4c020897-4ed6-425d-bb90-7b45662edc2a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=4c020897-4ed6-425d-bb90-7b45662edc2a,done,,,http://report.location,URI,optional,,0..1,,,"Y, if still applies (Rights Management Information)",,,,,,,ethical_issues_report,enjeux_éthiques_rapport,pgd/enjeux_éthiques_rapport,KT yes,AR yes,,,,
"Indigenous general considerations
Other sections may contain information relevant to specific indigenous considerations. These are shown in red font in column B (common standard fieldname). In addition, some controlled vocabularies may contain selections that are specific to Indigenous considerations. 
",dmp/indigenous_considerations/,TRUE,,8ede22f0-67aa-487f-ac91-1c629c7f245a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8ede22f0-67aa-487f-ac91-1c629c7f245a,done,,,,,,,,,,,,,,,,,,,,,,,,,
,dmp/indigenous_considerations/control_over_data_description,TRUE,,11061080-cd3c-4ddf-ab5f-b71894c7435c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=11061080-cd3c-4ddf-ab5f-b71894c7435c,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,indigenous_control_over_data_description,données_autochtones_contrôle_description,,,,,,,
,dmp/indigenous_considerations/data_governance_description,TRUE,,5d4c084f-166b-463e-b9b7-ea2b20289fac,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=5d4c084f-166b-463e-b9b7-ea2b20289fac,done,,,,string (free-form text),optional,,NA,0..1,Tri-Agency,Y (Rights Management Information),,,,,,LAC,indigenous_data_governance,gouvernance_autochtone_description,pgd/données_gouvernance_autochtone_description,KT yes,,,,,
,dmp/indigenous_considerations/description,TRUE,,462f632f-3ee9-45d8-998b-319b09f65338,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=462f632f-3ee9-45d8-998b-319b09f65338,done,,,Community-based indicators of Indigenous health ...,string (free-form text),optional,,NA,0..1,Tri-Agency,Y (Rights Management Information),,,,,,LAC,indigenous_data_issues_description,données_autochtones_enjeux_description,pgd/enjeux_autochtones_description,KT yes,,,,,
,dmp/indigenous_considerations/exist,TRUE,,8ede22f0-67aa-487f-ac91-1c629c7f245a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8ede22f0-67aa-487f-ac91-1c629c7f245a,done,,,yes,controlled vocabulary,required,,NA,1,Tri-Agency,,,,,,,LAC ,indigenous_data_issues_exist,données_autochtones_enjeux_existent,pgd/enjeux_autochtones_existent,KT yes,,,,,
,dmp/indigenous_considerations/indigenous_control_over_data,TRUE,,b921348d-44a2-4596-92e3-5adaa6d42a61,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b921348d-44a2-4596-92e3-5adaa6d42a61,done,,,unknown,controlled vocabulary,required IF,if indigenous_considerations exist,NA,0..1,Tri-Agency,,,,,,,LAC ,indigenous_control_over_data,données_autochtones_contrôle,,,,,,,
,dmp/indigenous_considerations/indigenous_data_governance_exists,TRUE,,db4b7c07-b3b2-4453-ace1-f2aca706844b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=db4b7c07-b3b2-4453-ace1-f2aca706844b,done,,,no,controlled vocabulary,required IF,if indigenous_considerations exist,NA,1,Tri-Agency,,,,,,,LAC,indigenous_data_governance_exists,gouvernance_autochtone_existe,pgd/données_gouvernance_autochtone_existe,KT see comments,,,"KT: but unclear on how cardinality is being denoted for ""required if"" situations throughout the orange tab; seems to vary at the moment",,
"Security and Privacy
Used to indicate any specific requirements related to security and privacy of a specific dataset, e.g. to indicate that data is not anonymized.",dmp/dataset/distribution/classification_level,TRUE,,88cae713-1cc8-4278-9895-1a4ab6db9c7f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=88cae713-1cc8-4278-9895-1a4ab6db9c7f,done,,,top secret,controlled vocabulary,required IF,,NA,1,"TBS Policy on Service and Digital 4.3.2.7, LAC* (*Required at time of transfer to LAC, datasets with archival value)",Y (Rights Management Information),,,,,,LAC,distribution_classification_level,distribution_classification_niveau,pgd/données/distribution/classification_niveau,KT yes,AR yes,,"KT: see questions in ""Features"" tab regarding the protection and classification GC properties",,
,dmp/dataset/distribution/data_security-privacy_measures,TRUE,,9bf8cbf0-3c47-4b66-b2a1-8807206e89ba,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9bf8cbf0-3c47-4b66-b2a1-8807206e89ba,done,,,"anonymisation, de-identification, encryption, hash function, pseudonymisation, statistical disclosure control, none",string (free-form text),required IF,,NA,0..n,TBS Policy on Service and Digital 4.3.25,Y (Rights Management Information),,,,,,LAC,distribution_data_security-privacy_measures,distribution_données_mesures_sécurité_confidentialité,,KT yes,,,,,
,dmp/dataset/distribution/protection_level,TRUE,,b49b4c6a-3995-4712-9e9a-2dff1507be9e,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b49b4c6a-3995-4712-9e9a-2dff1507be9e,done,,,protected C,controlled vocabulary,required IF,,NA,1,"TBS Policy on Service and Digital 4.3.2.6, LAC* (*Required at time of transfer to LAC, datasets with archival value)",Y (Rights Management Information),,,,,,LAC,distribution_protection_level,distribution_protection_niveau,pgd/données/distribution/protection_niveau,KT yes,AR yes,,"KT: see questions in ""Features"" tab regarding the protection and classification GC properties",,
,dmp/dataset/personal_data,TRUE,,99006cb6-97bd-4e54-8745-945b77312059,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=99006cb6-97bd-4e54-8745-945b77312059,done,,,yes,controlled vocabulary,required,,1,,,,,,,,,,dataset_personal_data,données_données_personnelles,pgd/données/données_personnelles,KT yes,AR yes,,,,
,dmp/dataset/privacy_impact_assessment/,TRUE,,f05e8ddf-ded7-479f-9596-e0e2eb7b22cf,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f05e8ddf-ded7-479f-9596-e0e2eb7b22cf,done,,,,,,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/privacy_impact_assessment/approved,TRUE,,2e9393ed-afe0-4278-87e0-e09ad30947d2,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2e9393ed-afe0-4278-87e0-e09ad30947d2,done,,,yes,controlled vocabulary,required IF,,NA,1,TBS Directive,,,,,,,,privacy_impact_assessment_approved,évaluation_facteurs_vie privée,,,,,,,
,dmp/dataset/privacy_impact_assessment/approved_by,TRUE,,f737ec48-599c-4453-bfc7-7613ec4eb9c6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f737ec48-599c-4453-bfc7-7613ec4eb9c6,done,,,yes,controlled vocabulary,required IF,,NA,1,TBS Directive,,,,,,,,privacy_impact_assessment_approved_by,évaluation_facteurs_vie privée_approuvé_par,,,,,,,
,dmp/dataset/privacy_impact_assessment/conducted,TRUE,,7514c79e-126f-4696-9520-9060950133e9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=7514c79e-126f-4696-9520-9060950133e9,done,,,yes,controlled vocabulary,required IF,,NA,1,TBS Directive,,,,,,,,privacy_impact_assessment_conducted,évaluation_facteurs_vie privée_condit_par,,,,,,,
,dmp/dataset/privacy_impact_assessment/download,TRUE,,cd3fab55-c31b-4c3d-b9dd-168e35da5a1f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cd3fab55-c31b-4c3d-b9dd-168e35da5a1f,done,,,,uri,optional,,NA,1,TBS Directive,,,,,,,,privacy_impact_assessment_download,évaluation_facteurs_vie privée_télécharger,,,,,,,
,dmp/dataset/privacy_impact_assessment/registered,TRUE,,80b7cefd-de19-426b-9d05-362da2f55138,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=80b7cefd-de19-426b-9d05-362da2f55138,done,,,yes,controlled vocabulary,required IF,,NA,1,TBS Directive,,,,,,,,privacy_impact_assessment_registered,évaluation_facteurs_vie privée_enregistrée,,,,,,,
,dmp/dataset/security_and_privacy,TRUE,,22a235fe-3318-40c0-b3eb-b2ceb10e9cc9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=22a235fe-3318-40c0-b3eb-b2ceb10e9cc9,done,,,,nested data structure,required,,0..n,1..n,,Y (Rights Management Information),,,,,,,,,pgd/données/sécurité_et_vie_privée/,KT yes,AR yes,,KT: added cardinality. Changed requirement to optional (unless it should be mandatory in the GC). added data type,"Should be required for GC, I think.  (CCA)",
,dmp/dataset/security_and_privacy/description,TRUE,,7e3d9823-e02b-485a-940d-aa724c4abf2a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=7e3d9823-e02b-485a-940d-aa724c4abf2a,done,,,Server with data must be kept in a locked room,string (free-form text),optional,,0..1,,,,,,,,,,security_and_privacy_description,sécurité_et_vie_privée_description,pgd/données/sécurité_et_vie_privée/description,KT yes,AR yes,,,,
,dmp/dataset/security_and_privacy/title,TRUE,,b0e4c0f3-6400-416c-b5e4-dc2158860293,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b0e4c0f3-6400-416c-b5e4-dc2158860293,done,,,Physical access control,string (free-form text),required IF,,1,,,,,,,,,,security_and_privacy_title,sécurité_et_vie_privée_titre,pgd/données/sécurité_et_vie_privée/titre,KT yes,AR yes,,,,
,dmp/dataset/sensitive_data,TRUE,,a9dac136-f47c-4a0c-9277-b64ccfaf2079,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a9dac136-f47c-4a0c-9277-b64ccfaf2079,done,,,yes,controlled vocabulary,required,,1,,,,,,,,,,dataset_sensitive_data,données_sensibles,pgd/données/données_sensibles,KT yes,AR yes,,,,
,dmp/protection_level,TRUE,,2015f174-2cb2-4db3-9acc-36fb35035b0f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2015f174-2cb2-4db3-9acc-36fb35035b0f,done,,,not protected,controlled vocabulary,required,,NA,1,"TBS Policy on Service and Digital 4.3.2.6, LAC* (*Required at time of transfer to LAC, datasets with archival value)",Y (Rights Management Information),,,,,,LAC,dmp_protection_level,dmp_protection_niveau,pgd/protection_niveau,KT yes,AR yes,,"KT: see questions in ""Features"" tab regarding the protection and classification GC properties",,
Intellectual property,dmp/dataset/distribution/intellectual_property/,TRUE,,ffaea8bb-cdcc-43eb-aa64-853a45c5034c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ffaea8bb-cdcc-43eb-aa64-853a45c5034c,done,,odrs:RightsStatement or sub-class thereof,,,required,,NA,1,,Y (Rights Management Information),,,,,,LAC,,,,KT yes,,,,,
,dmp/dataset/distribution/intellectual_property/copyright_description,TRUE,,36101b08-1d9a-4df3-847d-1f2e4a2d7233,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=36101b08-1d9a-4df3-847d-1f2e4a2d7233,done,,,Non-transferable copyright,string (free-form text),optional,,NA,0..1,,"Y, if exists (Rights Management Information)",,,,,,LAC,distribution_copyright_description,distribution_droits_auteur_description,pgd/données/distribution/droits_d'autre_description,KT yes,,,,,
,dmp/dataset/distribution/intellectual_property/copyright_extent,TRUE,,91e7d98f-aefc-4b1b-ac1a-ac44805c8751,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=91e7d98f-aefc-4b1b-ac1a-ac44805c8751,done,,,Part of the distribution,controlled vocabulary,required IF,,NA,1,,Y (Rights Management Information),,,,,,LAC,distribution_intellectual_property_copyright_extent,distribution_propriété_intellectuelle_droits_auteur_étendue,,KT no,,,KT not clear what extent means in this situation,,
,dmp/dataset/distribution/intellectual_property/copyright_holder,TRUE,,355c64ca-1a63-40d8-aeae-180f83e783c1,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=355c64ca-1a63-40d8-aeae-180f83e783c1,done,,,public domain,controlled vocabulary,required IF,,NA,1..n,,Y (Rights Management Information),,,,,,LAC,distribution_copyright_holder,distribution_détenteur_droits_auteur,pgd/données/distribution/détenteur_droits_d'autre,KT yes,,,,,
,dmp/dataset/distribution/intellectual_property/copyright_holder_other_specify,TRUE,,243283bb-d511-4c9c-aab1-e901917719f8,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=243283bb-d511-4c9c-aab1-e901917719f8,not needed,,,Joe Doe,string (free-form text),required IF,,NA,1,,Y (Rights Management Information),,,,,,LAC,distribution_copyright_holder_other,,,,,,,,
,dmp/dataset/distribution/intellectual_property/publication_date,TRUE,,b521835e-c0b2-4ab9-a47f-c7b24fb49aa1,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b521835e-c0b2-4ab9-a47f-c7b24fb49aa1,"same as ""issued""",,,,,,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/distribution/intellectual_property/indigenous_traditional_knowledge,TRUE,,77c5b55a-c92b-4dbf-b1ce-d3e1075bcbc1,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=77c5b55a-c92b-4dbf-b1ce-d3e1075bcbc1,done,,,yes,controlled vocabulary,optional,,,,,,,,,,,,,,,,,,,,
"License and/or other arrangement
Used to indicate the license under which data (each specific Distribution of the data) will be made available. It also allows for modelling embargoes. See FAQ for more details.",dmp/dataset/distribution/date_use_constraints_description,TRUE,,b4ec6af7-129c-423f-b5bc-025078847296,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b4ec6af7-129c-423f-b5bc-025078847296,redundant,,distribution license,,string (free-form text),optional,,NA,0..1,,,,,,,,,distribution_date_use_constraints_description,distribution_usage_données_restrictions_description,,,,,,,
,data_sharing_agreeement,TRUE,,c872c7a8-36ff-4281-9235-43821b7108a3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c872c7a8-36ff-4281-9235-43821b7108a3,done,,Link to dataset,,,,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/distribution/indigenous_ information_sharing_agreement_description,TRUE,,13607376-bc9c-4f1e-82bc-56acfc653e17,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=13607376-bc9c-4f1e-82bc-56acfc653e17,done,Link to Agreement Class,,,string (free-form text),optional,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/distribution/indigenous_information_sharing_agreement,TRUE,,f46d4a51-04dd-48ef-88d8-93a173522112,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f46d4a51-04dd-48ef-88d8-93a173522112,done,,,yes part,controlled vocabulary,required IF,if indigenous_considerations exist,,,,,,,,,,,,,,,,,,,
,dmp/dataset/distribution/license/,TRUE,,e658a766-3eb0-4d66-bf87-6003d55deeff,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e658a766-3eb0-4d66-bf87-6003d55deeff,done,,,,nested data structure,optional,,0..n,1..n,,Y (Rights Management Information),O,rights  (0-n) with lang attribute,,,,,,,pgd/données/distribution/licence/,KT yes,AR yes,,"KT: added cardinality (0..n); changed requirement to optional (to match RDA Common Standard, unless will be mandatory in GC?); added data type","Should be required for GC, I think (CCA).",
,dmp/dataset/distribution/license/license_ref,TRUE,,32b2d87c-8ef4-483b-97b7-360ae3905cdd,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=32b2d87c-8ef4-483b-97b7-360ae3905cdd,done,,,no license (not recommended unless IP in public domain),uri,required IF,if there is a distribution,1,,,,O if rights,"rightsURI
rightsIdentifier
rightsIdentifierScheme
schemeURI",,,,,license_ref,licence_réf,pgd/données/distribution/licence/licence_réf,KT yes,AR yes,,,,
,dmp/dataset/distribution/license/other_specify,TRUE,,4102eef8-284c-4b33-87a9-238f7a9e18d7,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=4102eef8-284c-4b33-87a9-238f7a9e18d7,not needed,,should be removed,,string (free-form text),,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/distribution/license/start_date,TRUE,,46256904-b52d-4bb1-984f-f53bfbb2181b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=46256904-b52d-4bb1-984f-f53bfbb2181b,done,,,2022-03-31T,Date. ISO 8601 datetime compliant string,required IF,if there is a license,1,,,,,,,,,,license_start_date,licence_date_début,pgd/données/distribution/licence/date_début,KT yes,AR yes,,,,
"7. DATASET METADATA - nested data structure
Provides a pointer to a metadata standard used to describe the data. It does not contain any actual metadata relating to the dataset.",dmp/dataset/metadata/,TRUE,,45193994-6952-4c9d-99db-2de61743695e,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=45193994-6952-4c9d-99db-2de61743695e,done,,,,nested data structure,optional,,0..n,,,Y,"dataset would get its own DataCite record, separate from DataCite record for DMP
In record for DMP, would add a relatedItem for each related dataset. RelatedItem field would include relationType, relatedItemType, relatedItemIdentifier, relatedItemIdentifierType, and additional metadata about the dataset.",,,"Does DMP include metadata values for dataset's
- publisher?
- creator?
- contributor?
- publication date?",,,,,pgd/données/métadonnées/description,KT yes,AR yes,,KT: added cardinality (0..n); changed requirement to optional; added data type,ok (CCA),
,dmp/dataset/metadata/description,TRUE,,7a5cad3c-a4a0-47ab-9158-31213a7d3fc2,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=7a5cad3c-a4a0-47ab-9158-31213a7d3fc2,done,,,Provides taxonomy for...,string (free-form text),optional,,0..1,,,,,,,"
",,,metadata_description,métadonnées_description,pgd/données/métadonnées/description,KT yes,AR yes,,,,
,dmp/dataset/metadata/language,TRUE,,2ae105c8-6fd2-49b6-bab9-685a3ab24a56,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2ae105c8-6fd2-49b6-bab9-685a3ab24a56,done,,,eng,controlled vocabulary,required IF,,1,,,,,,,,,,metadata_language,métadonnées_langue,pgd/données/métadonnées/langue,KT yes,AR yes,,,,
,dmp/dataset/metadata/metadata_standard_id/,TRUE,,0079857e-3fed-4ead-adfb-23b687975a50,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0079857e-3fed-4ead-adfb-23b687975a50,done,,,,nested data structure ,required IF,,1,,,,,,,,,,,,pgd/données/métadonnées/métadonnées_norme_id,KT yes,AR yes,,KT: added cardinality,ok (CCA),
,dmp/dataset/metadata/metadata_standard_id/identifier,TRUE,,c27df560-38de-4f61-958a-95e14f76b378,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c27df560-38de-4f61-958a-95e14f76b378,done,,,https://library.wmo.int/doc_num.php?explnum_id=10145,controlled vocabulary,required IF,if there is a metadata standard,1,,,,,,,,,,metadata_standard_id_identifier,métadonnées_norme_id_identificateur,pgd/données/métadonnées/métadonnées_norme_id/identificateur,KT yes,AR yes,,,,
,dmp/dataset/metadata/metadata_standard_id/type,TRUE,,9bc6b94d-79de-45b5-b63a-11cdf2b1c642,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9bc6b94d-79de-45b5-b63a-11cdf2b1c642,done,,,url,controlled vocabulary,required IF,if there is a metadata standard,1,,,,,,,,,,metadata_standard_id_type,métadonnées_norme_id_type,pgd/données/métadonnées/métadonnées_norme_id/type,KT yes,AR yes,,,,
"8. DATASET
This follows the defintion of Dataset in the W3C DCAT specification. Dataset can be understood as a logical entity depicting data, e.g. raw data. It provides high level information about the data. The granularity of dataset depends on a specific setting. In edge cases it can be a file, but also a collection of files in different formats. See FAQ for more details.",dmp/dataset/data_collection_earliest_start_date,TRUE,,c0ebacdf-7b9a-4825-8d45-cd4003124a8f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c0ebacdf-7b9a-4825-8d45-cd4003124a8f,not needed,dct:hasPart / dct:isPart,Introduced dct:hasPart/dct:isPart to show that a dataset is a collection of other datasets. The description remains the dct:description of the collection.,,Date. ISO 8601 datetime compliant string,optional,,NA,0..1,,Y (Date [coverage]),,,R,"date dateType=""Collected""",,LAC,data_collection_start_date,collecte_données_date_début,,KT see comment line 138,,,,,
,dmp/dataset/data_collection_latest_end_date,TRUE,,8ee5828a-3f9f-44ce-b9db-b81c80ee71f0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8ee5828a-3f9f-44ce-b9db-b81c80ee71f0,not needed,,,,Date. ISO 8601 datetime compliant string,optional,,NA,0..1,,Y (Date [coverage]),,,R,"date dateType=""Collected""",,LAC,data_collection_end_date,collecte_données_date_fin,,KT see comment,,,KT: 0..n because data might be collected over multiple periods?,"Oh boy. True. Specified earliest start and latest end dates, and changed to 0..1. Added a new element, 'dmp/dataset/data_collection_period_description' to allow description of multiple periods, if applicable.",
,dmp/dataset/data_collection_period_description,TRUE,,b9f9f734-f686-4c86-967c-3bf40e4d7d1a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b9f9f734-f686-4c86-967c-3bf40e4d7d1a,not needed,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,data_collection_period_description,collecte_données_date_période_description,,,,,,,
,dmp/dataset/data_quality_assurance,TRUE,,92202cdb-7c02-467f-83ea-be358eec6f2c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=92202cdb-7c02-467f-83ea-be358eec6f2c,done,,,"We use a complicated, undocumented system for data QA/QC",string (free-form text),optional,,0..n,,,,,,,,,LAC,data_quality_assurance,assurance_qualité_données,pgd/données/assurance_qualité_données,KT yes,AR yes,,KT: added data type ,ok (CCA),
,dmp/dataset/dataset_documentation/,TRUE,,f2ece2bc-4c09-4a44-a71d-1ff89a2dc756,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f2ece2bc-4c09-4a44-a71d-1ff89a2dc756,done,,,,,optional,,NA,0..n,,"Y, if exists",,,,,,LAC,,,,KT yes,,,,,
,dmp/dataset/dataset_documentation/access_url,TRUE,,798fa2e8-8e3d-4a35-8d2d-6517a1ffc82b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=798fa2e8-8e3d-4a35-8d2d-6517a1ffc82b,done,,,,uri,optional,,NA,0..1,,,,,,,,,dataset_documentation_access_url,données_documentation_accès_url,,KT yes,,,,,
,dmp/dataset/dataset_documentation/description,TRUE,,ac7d6370-2be6-448c-aed8-533109b2c978,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ac7d6370-2be6-448c-aed8-533109b2c978,done,,,,string (free-form text),required IF,if there is documentation,NA,0..1,,"Y, if exists",,,,,,LAC,dataset_documentation_description,données_documentation_description,,KT yes,,,,,
,dmp/dataset/dataset_documentation/download_url,TRUE,,5b8ac391-72bb-428b-956b-973afd9ba60e,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=5b8ac391-72bb-428b-956b-973afd9ba60e,done,,,https://www.agr.gc.ca/atlas/supportdocument_documentdesupport/aafcAgClimate/en/ISO_19131_AgClimate_-_Data_Product_Specification.pdf,uri,optional,,NA,0..1,,,,,,,,,dataset_documentation_download_url,données_documentation_télécharger_url,,KT yes,,,,,
,dmp/dataset/dataset_documentation/indigenous_research_method,TRUE,,8c82876e-858f-494d-9b3c-ebb8e000be7e,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8c82876e-858f-494d-9b3c-ebb8e000be7e,done,,todo: add all options,anishinaabe mino-bimaadiziwin,controlled vocabulary,required IF,if indigenous_considerations exist,,,,,,,,,,,,,,,,,,,
,dmp/dataset/dataset_documentation/name,TRUE,,1af01f6f-3455-4c30-a5a9-51fc6376f3b2,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1af01f6f-3455-4c30-a5a9-51fc6376f3b2,done,,,contract,controlled vocabulary,required IF,if there is documentation,NA,0..1,,"Y, if exists",,,,,,LAC,dataset_documentation_name,données_documentation_nom,,KT yes,,,,,
